"","x"
"1",86.197605
"2",86.5788438824
"3",88.0497240294
"4",87.9249263529
"5",88.465131
"6",88.3984638824
"7",89.4494320294
"8",90.5563753529
"9",92.272335
"10",92.1496788824
"11",93.9564890294
"12",94.8114863529
"13",96.583434
"14",96.9646728824
"15",98.9954360294
"16",101.138164353
"17",102.882122
"18",103.095394882
"19",104.006386029
"20",104.777404353
"21",104.701732
"22",102.563504882
"23",103.558486029
"24",102.985774353
"25",102.098281
"26",101.471734882
"27",102.550696029
"28",104.021564353
"29",105.093652
"30",105.194954882
"31",104.594266029
"32",105.813184353
"33",105.149642
"34",102.899434882
"35",102.354736029
"36",102.033974353
"37",102.014299
"38",101.835654882
"39",102.018806029
"40",102.733834353
"41",103.134062
"42",103.263354882
"43",103.866416029
"44",105.393274353
"45",107.081242
"46",108.414274882
"47",109.297286029
"48",111.495994353
"49",112.680072
"50",113.061304882
"51",112.376636029
"52",111.244054353
"53",107.305192
"54",106.678644882
"55",104.678246029
"56",105.729204353
"57",107.837082
"58",108.022364882
"59",107.281706029
"60",107.016934353
"61",106.045452
"62",106.370704882
"63",106.049966029
"64",105.841184353
"65",106.045452
"66",106.650644882
"67",107.393676029
"68",108.668584353
"69",109.628702
"70",110.261894882
"71",110.920946029
"72",110.740154353
"73",110.048622
"74",108.190324882
"75",107.057746029
"76",108.024724353
"77",109.712692
"78",111.409654882
"79",108.765396029
"80",106.289084353
"81",103.917902
"82",100.799874882
"83",97.3997700294
"84",93.2438143529
"85",94.123068
"86",96.1970798824
"87",97.2754290294
"88",96.4561423529
"89",92.674237
"90",92.8536228824
"91",93.4304540294
"92",93.2055593529
"93",93.955896
"94",94.7296738824
"95",95.5665510294
"96",95.5459793529
"97",97.09503
"98",97.7573598824
"99",96.1609430294
"100",96.5861653529
"101",103.874812
"102",105.094384882
"103",106.804276029
"104",107.786744353
"105",106.596022
"106",107.310354882
"107",106.897156029
"108",107.210924353
"109",107.134682
"110",108.829774882
"111",107.926196029
"112",106.298904353
"113",103.365872
"114",102.029554882
"115",99.3000760294
"116",95.3045073529
"117",90.50099
"118",88.0984848824
"119",86.5150710294
"120",85.1143943529
"121",89.033584
"122",88.8229008824
"123",88.2666710294
"124",87.7260053529
"125",88.102896
"126",87.6546968824
"127",88.4004090294
"128",88.3618013529
